lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	excluded_nodes	judgments_per_edge	edgeshares	nodes	judgments_total
abspalten	4.0	0.010139416983523447	9	0.034220532319391636	4	5	0	0	0	1.0833333333333333	1=0.92,2=0.08	50	286
Ächtung	13.0	0.02823018458197611	26	0.08469055374592833	0	26	0	0	2	1.0630372492836677	1=0.94,2=0.06	50	371
angeregt	19.5	0.034574468085106384	25	0.06648936170212766	19	6	0	0	0	1.094488188976378	1=0.91,2=0.09	50	417
Angesicht	9.5	0.03281519861830743	23	0.11917098445595854	17	6	18	1	2	1.0446428571428572	1=0.96,2=0.04	50	234
Angriffswaffe	4.0	0.007266121707538601	4	0.010899182561307902	3	1	0	0	1	1.0865139949109415	1=0.92,2=0.08,3=0.00	50	427
anpflanzen	14.0	0.01684717208182912	23	0.04151624548736462	21	2	3	0	1	1.1811965811965812	1=0.84,2=0.14,3=0.02,4=0.00	50	691
Arbeitsbedingung	3.0	0.01020408163265306	5	0.025510204081632654	4	1	0	0	1	1.0295566502463054	1=0.97,2=0.03	50	209
Aufkommen	24.5	0.04275741710296684	34	0.08900523560209424	19	15	4	0	0	1.1082474226804124	1=0.89,2=0.10,3=0.00	50	430
Aufrichtung	23.0	0.0706605222734255	33	0.15207373271889402	25	8	31	0	0	1.0818181818181818	1=0.92,2=0.08	50	238
aufstrebend	18.0	0.028846153846153848	31	0.07451923076923077	14	17	1	0	2	1.1850220264317182	1=0.83,2=0.15,3=0.02	50	538
ausbilden	8.0	0.035555555555555556	12	0.08	11	1	17	0	0	1.0333333333333334	1=0.97,2=0.03	50	155
Ausrufung	9.5	0.019427402862985686	16	0.049079754601226995	15	1	0	0	3	1.10498687664042	1=0.91,2=0.08,3=0.01	50	421
Aussterben	18.5	0.043580683156654886	31	0.10954063604240283	10	21	0	0	1	1.0844155844155845	1=0.92,2=0.08,3=0.00	50	334
