identifiers1	identifiers2	judgments	comments
control_1	control_2	4
control_3	control_4	3
control_5	control_6	1
control_7	control_8	4
control_9	control_10	2
control_11	control_12	2
control_13	control_14	4
control_15	control_16	1
control_17	control_18	4
control_19	control_20	2
control_21	control_22	2
control_23	control_24	4
control_25	control_26	3
control_27	control_28	4
control_29	control_30	2
control_31	control_32	4
control_33	control_34	4
control_35	control_36	4
control_37	control_38	3
control_39	control_40	3
control_41	control_42	3
control_43	control_44	2
control_45	control_46	2
control_47	control_48	2
control_49	control_50	1
control_51	control_52	1
control_53	control_54	1
control_55	control_56	0
control_57	control_58	0
control_59	control_60	3
control_61	control_62	1
