lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
Abgesang	1_2	50	25	25	[28, 13]	[25, 0]	[3, 13]	[0.683, 0.317]	[1.0, 0.0]	[0.188, 0.812]	1	1	0	0.7914437903827912	1	3	1	3	1.0	0.675	0.1875
Armenhaus	1_2	50	25	25	[29, 21]	[25, 0]	[4, 21]	[0.58, 0.42]	[1.0, 0.0]	[0.16, 0.84]	1	1	0	0.8150454697213957	1	3	1	3	1.0	0.72	0.16
Dynamik	1_2	50	25	25	[33, 17]	[10, 15]	[23, 2]	[0.66, 0.34]	[0.4, 0.6]	[0.92, 0.08]	0	0	0	0.48811249998802464	1	3	1	3	0.5	0.8466666666666667	0.416
Eintagsfliege	1_2	50	25	25	[23, 22]	[7, 18]	[16, 4]	[0.511, 0.489]	[0.28, 0.72]	[0.8, 0.2]	0	0	0	0.4546306040033813	1	3	1	3	0.58	0.6631578947368421	0.368
Engpaß	1_2	50	25	25	[26, 22]	[2, 22]	[24, 0]	[0.542, 0.458]	[0.083, 0.917]	[1.0, 0.0]	1	0	1	0.8877366743771224	1	3	1	3	0.8405797101449275	1.0	0.08333333333333333
Fuß	1_2	50	25	25	[25, 12, 5, 3, 1, 1, 1]	[12, 12, 0, 0, 0, 0, 0]	[13, 0, 5, 3, 1, 1, 1]	[0.521, 0.25, 0.104, 0.062, 0.021, 0.021, 0.021]	[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.542, 0.0, 0.208, 0.125, 0.042, 0.042, 0.042]	1	1	1	0.6926528351219673	1	3	1	3	0.4782608695652174	0.32971014492753625	0.2708333333333333
Knotenpunkt	1_2	50	25	25	[23, 17]	[4, 11]	[19, 6]	[0.575, 0.425]	[0.267, 0.733]	[0.76, 0.24]	0	0	0	0.428539928464134	1	3	1	3	0.580952380952381	0.62	0.37866666666666665
Manschette	1_2	50	25	25	[39, 6, 4]	[25, 0, 0]	[14, 6, 4]	[0.796, 0.122, 0.082]	[1.0, 0.0, 0.0]	[0.583, 0.25, 0.167]	1	1	0	0.49834775791396313	1	3	1	3	1.0	0.4057971014492754	0.5833333333333334
Mißklang	1_2	50	25	25	[38, 10]	[18, 6]	[20, 4]	[0.792, 0.208]	[0.75, 0.25]	[0.833, 0.167]	0	0	0	0.08737615858863872	1	3	1	3	0.6086956521739131	0.7101449275362319	0.6666666666666666
Ohrwurm	1_2	50	25	25	[25, 23]	[25, 0]	[0, 23]	[0.521, 0.479]	[1.0, 0.0]	[0.0, 1.0]	1	1	1	1.0	1	3	1	3	1.0	1.0	0.0
Rezeption	1_2	50	25	25	[43, 6]	[23, 1]	[20, 5]	[0.878, 0.122]	[0.958, 0.042]	[0.8, 0.2]	1	1	0	0.214117556726664	1	3	1	3	0.9166666666666666	0.6666666666666666	0.775
Schmiere	1_2	50	25	25	[22, 9, 7, 3, 2, 1, 1]	[15, 1, 1, 3, 1, 0, 1]	[7, 8, 6, 0, 1, 1, 0]	[0.489, 0.2, 0.156, 0.067, 0.044, 0.022, 0.022]	[0.682, 0.045, 0.045, 0.136, 0.045, 0.0, 0.045]	[0.304, 0.348, 0.261, 0.0, 0.043, 0.043, 0.0]	1	1	1	0.5670797868774872	1	3	1	3	0.4675324675324675	0.25296442687747034	0.23715415019762845
Seminar	1_2	50	25	25	[23, 18, 4]	[2, 15, 4]	[21, 3, 0]	[0.511, 0.4, 0.089]	[0.095, 0.714, 0.19]	[0.875, 0.125, 0.0]	1	0	1	0.7214773661896038	1	3	1	3	0.5333333333333333	0.7717391304347826	0.17261904761904762
Sensation	1_2	50	25	25	[39, 9]	[16, 8]	[23, 1]	[0.812, 0.188]	[0.667, 0.333]	[0.958, 0.042]	1	0	1	0.33484802027383753	1	3	1	3	0.5362318840579711	0.9166666666666666	0.6527777777777778
Spielball	1_2	50	25	25	[48, 2]	[24, 1]	[24, 1]	[0.96, 0.04]	[0.96, 0.04]	[0.96, 0.04]	0	0	0	0.0	1	3	1	3	0.92	0.92	0.9232
Titel	1_2	50	25	25	[18, 17, 1]	[16, 6, 1]	[2, 11, 0]	[0.5, 0.472, 0.028]	[0.696, 0.261, 0.043]	[0.154, 0.846, 0.0]	0	0	0	0.5235437147780078	1	3	1	3	0.5335968379446641	0.717948717948718	0.3277591973244147
abbauen	1_2	50	25	25	[21, 19, 9]	[0, 19, 5]	[21, 0, 4]	[0.429, 0.388, 0.184]	[0.0, 0.792, 0.208]	[0.84, 0.0, 0.16]	1	1	1	0.9045039939226753	1	3	1	3	0.6557971014492754	0.72	0.03333333333333333
abdecken	1_2	50	25	25	[22, 12, 8, 3, 1]	[15, 0, 5, 0, 1]	[7, 12, 3, 3, 0]	[0.478, 0.261, 0.174, 0.065, 0.022]	[0.714, 0.0, 0.238, 0.0, 0.048]	[0.28, 0.48, 0.12, 0.12, 0.0]	1	1	0	0.6394520836496268	1	3	1	3	0.5476190476190477	0.31	0.22857142857142856
abgebrüht	1_2	50	25	25	[25, 24]	[1, 23]	[24, 1]	[0.51, 0.49]	[0.042, 0.958]	[0.96, 0.04]	1	1	1	0.8682803437243987	1	3	1	3	0.9166666666666666	0.92	0.07833333333333334
artikulieren	1_2	50	25	25	[36, 11]	[12, 11]	[24, 0]	[0.766, 0.234]	[0.522, 0.478]	[1.0, 0.0]	1	0	1	0.5424695824951115	1	3	1	3	0.4782608695652174	1.0	0.5217391304347826
ausspannen	1_2	50	25	25	[24, 12, 9, 3]	[17, 1, 4, 1]	[7, 11, 5, 2]	[0.5, 0.25, 0.188, 0.062]	[0.739, 0.043, 0.174, 0.043]	[0.28, 0.44, 0.2, 0.08]	1	1	0	0.46717706466193387	1	3	1	3	0.5612648221343873	0.29	0.2643478260869565
packen	1_2	50	25	25	[19, 15, 6]	[15, 8, 1]	[4, 7, 5]	[0.475, 0.375, 0.15]	[0.625, 0.333, 0.042]	[0.25, 0.438, 0.312]	1	1	0	0.38668352293300334	1	3	1	3	0.48188405797101447	0.30833333333333335	0.3151041666666667
zersetzen	1_2	50	25	25	[29, 21]	[20, 5]	[9, 16]	[0.58, 0.42]	[0.8, 0.2]	[0.36, 0.64]	0	0	0	0.3861971685062257	1	3	1	3	0.6666666666666666	0.52	0.416
überspannen	1_2	50	25	25	[23, 11, 10, 4]	[9, 4, 8, 2]	[14, 7, 2, 2]	[0.479, 0.229, 0.208, 0.083]	[0.391, 0.174, 0.348, 0.087]	[0.56, 0.28, 0.08, 0.08]	0	0	0	0.2918760630020898	1	3	1	3	0.28063241106719367	0.38	0.3026086956521739
