lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2
aktiv	1_2	200	100	100	[154, 1, 1, 1]	[68, 1, 1, 1]	[86, 0, 0, 0]	[0.981, 0.006, 0.006, 0.006]	[0.958, 0.014, 0.014, 0.014]	[1.0, 0.0, 0.0, 0.0]	0	0	0	0.1464776477	1	5	1	5
anda	1_2	200	100	100	[105, 30, 2, 2, 2, 1, 1]	[46, 3, 1, 0, 0, 1, 0]	[59, 27, 1, 2, 2, 0, 1]	[0.734, 0.21, 0.014, 0.014, 0.014, 0.007, 0.007]	[0.902, 0.059, 0.02, 0.0, 0.0, 0.02, 0.0]	[0.641, 0.293, 0.011, 0.022, 0.022, 0.0, 0.011]	0	0	0	0.3396680995	1	5	1	5
annandag	1_2	200	100	100	[199]	[99]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
antyda	1_2	200	100	100	[193, 1]	[97, 0]	[96, 1]	[0.995, 0.005]	[1.0, 0.0]	[0.99, 0.01]	0	0	0	0.0719298616	1	5	1	5
bäck	1_2	200	100	100	[60, 23, 2, 1, 1, 1, 1, 1, 1]	[23, 22, 1, 1, 1, 1, 1, 0, 0]	[37, 1, 1, 0, 0, 0, 0, 1, 1]	[0.659, 0.253, 0.022, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011]	[0.46, 0.44, 0.02, 0.02, 0.02, 0.02, 0.02, 0.0, 0.0]	[0.902, 0.024, 0.024, 0.0, 0.0, 0.0, 0.0, 0.024, 0.024]	1	0	1	0.5296697993	1	5	1	5
bearbeta	1_2	200	100	100	[182, 3, 2, 1, 1, 1, 1, 1]	[88, 2, 1, 1, 0, 0, 0, 0]	[94, 1, 1, 0, 1, 1, 1, 1]	[0.948, 0.016, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.957, 0.022, 0.011, 0.011, 0.0, 0.0, 0.0, 0.0]	[0.94, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.1646316507	1	5	1	5
bedömande	1_2	200	100	100	[195]	[97]	[98]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
beredning	1_2	200	100	100	[115, 81, 1, 1, 1]	[70, 27, 1, 1, 0]	[45, 54, 0, 0, 1]	[0.578, 0.407, 0.005, 0.005, 0.005]	[0.707, 0.273, 0.01, 0.01, 0.0]	[0.45, 0.54, 0.0, 0.0, 0.01]	0	0	0	0.2610989716	1	5	1	5
blockera	1_2	200	100	100	[193, 4, 1, 1, 1]	[99, 0, 1, 0, 0]	[94, 4, 0, 1, 1]	[0.965, 0.02, 0.005, 0.005, 0.005]	[0.99, 0.0, 0.01, 0.0, 0.0]	[0.94, 0.04, 0.0, 0.01, 0.01]	0	0	0	0.1883274974	1	5	1	5
bolagsstämma	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
bröllop	1_2	200	100	100	[197, 1]	[98, 0]	[99, 1]	[0.995, 0.005]	[1.0, 0.0]	[0.99, 0.01]	0	0	0	0.070838721	1	5	1	5
by	1_2	200	100	100	[174, 1, 1]	[88, 1, 1]	[86, 0, 0]	[0.989, 0.006, 0.006]	[0.978, 0.011, 0.011]	[1.0, 0.0, 0.0]	0	0	0	0.1058355747	1	5	1	5
