lemma	pos	indexes	preceding_sentences	sentences	following_sentences	dates	filenames	identifiers	descriptions
celda	nfp    	25	que delitos han cometido los prisioneros que ahora están con ellos. Igual pueden estar en prisión por haber evadido impuestos, que por haber asesinado a decenas de personas, y es algo con lo que tendrían que tener cuidado.	Sea como fuere, Rick parece dispuestos a darles una oportunidad a los presos, por lo que se ponen en marcha para limpiar un bloque de celdas y que puedan vivir allí.	No tardamos mucho en darnos cuenta de que no tienen mucha cabeza que digamos cuando se encuentran a los primeros zombies, y en vez de atacar todos en formación, se lanzan a atacarles salvajemente sin darse cuenta de que los únicos golpes que les afectan son los que se les asestan en la cabeza. Mientras efectúan este	0	es-b-0.txt	control_1	[ES] Spain
celda	nfs    	26	proyecto educar en Argentina, pero justamente ante la debacle de un determinado gobierno o país, creemos que los proyectos tienen que tener raíz comunitaria, que es la que pervive, pasado el tsunami político o militar.	Testimonios como el del padre de un preso de la cárcel de Rocha, Uruguay, muerto en un incendio, porque no le abrieron la puerta de la celda para que pudiera salir, quizás contribuyan a encontrar una salida.	... Este padre reacciona así frente a un crimen atroz, que consistió en no abrir la celda donde se encontraba su hijo en medio de las llamas. http://www.youtube.com/watch?v=KGRczkSkU\\... Instantes grabados con el celular de otro preso. Cuando quieras, mate amargo de por medio o lo que acostumbres tomar,	0	es-b-0.txt	control_2	[ES] Spain
celda	nfp    	12	gracias por esta nota. Hay muchos lugares donde esncontrar esta info, pero de la ordenada manera que lo hiciste se merece un premio! Fórmula de Excel para calcular edad Excel es la hoja de cálculo más utilizada en todo el mundo, tanto en el ámbito empresarial o administrativo como en el educativo.	Con este conocido programa podemos manipular los datos a través de sus celdas y para ello es común hacer uso de las fórmulas y funciones con las que realizar cálculos más complejos.	Algunas de estas fórmulas tan útiles como la que sigue, para calcular la edad de un grupo indefinido de individuos a partir de su fecha de nacimiento. Bueno la edad, o cualquier otro uso que imaginen para saber el tiempo que ha transcurrido desde un	0	es-b-0.txt	control_3	[ES] Spain
celda	nfs    	28	así personalizar cada análisis. (Como podéis comprobar al lado de cada r.los hay un número entre paréntesis, éste número lo que hace es indicar en qué posición va a realizar cada paso el modelador.	Como resultado de dicho análisis vamos a obtener un mapa diferente, como sabemos en qué formato nos va a dar cada mapa, (un mapa en el que cada celda visible nos viene con un número de 0º a 180º).	Vamos a tener que reclasificar por separado, ya que lo que nos interesa es un mapa de 1 y 0. Para ello he creado un archivo con reglas de reclasificación y lo hemos aplicado con r.reclass. Dado que los ficheros resultantes de aplicar esta reclasificación no son verdaderos mapas raster vamos a tener problemas si	0	es-b-0.txt	control_4	[ES] Spain
celda	nfp    	13	modesto pero es un primer paso, si cada empresa hiciera algo así el ahorro total en emisiones contaminantes por producir electricidad sería enorme... mucha gente cree que si algo es eléctrico es 0 emisiones y no es nocivo para el planeta, pero también hay que ver como se genera dicha.	En mi ciudad ya empiezan a vender casas de origen con instalación de celdas fotovoltaicas solares para alimentar el circuito de iluminación y calentadores de agua también solares, estamos muy cerca de Texas en donde está la sede de Dell y si algo sobra por estos rumbos es precisamente luz solar (aunque irónico, hoy está nublado y llueve jeje).	Ya es tiempo de pensar un poco más en nuestro probre planeta que tanto nos ha dado. 	0	es-b-0.txt	control_5	[ES] Spain
celda	nfs    	6	 jueves, 15 de noviembre de 2012 Los presos Lázaro Pie Pérez, de la prisión de Quivicán, provincia Mayabeque, y Enrique Bartolomé Cambara Díaz, de Kilo 7, Camagüey, continúan en celda de castigo, medida tomada por la Seguridad del Estado para impedir que informen a la prensa independiente sobre la situación en las prisiones.	Lázaro Pie Pérez, se halla en celda de castigo desde el pasado día 24 de septiembre.	Fue visitado por oficiales de la Seguridad del Estado que le advirtieron que mientras siguiera llamando a esta reportera continuaría en celda de aislamiento, para que dejase de comunicar se con esa contrarrevolucionaria. Su salud está delicada por ser diabético tipo dos, según informó el recluso Juan Carlos Quintero Alfonso. Enrique Bartolomé Cambara, de	1	cu-b-0.txt	control_6	[CU] Cuba
árbol	n	1	noble Juan Gualberto: Devuelva, devuelva usted inmediatamente ese dinero criminalmente adquirido. Con sumas de tal origen no se va a la honra: el Partido quiere que llegue su bandera a los combates sin ninguna mancha: para lo que preparamos la guerra, para Gómez y para mí, los bandoleros solo son criminales, y el dinero que de ellos venga, infama.	El árbol debe venir sano desde la raíz.	Una de las facetas menos conocidas del Héroe Nacional Cubano es su habilidad para dibujar, capacidad que queda testimoniada en diversos dibujos a lápiz y tinta que están en su papelería, al dorso de cartas, borradores o apuntes. Durante su adolescencia fue matriculado en la escuela de dibujo y pintura San Alejandro de La Habana	1	cu-b-0.txt	control_7	[CU] Cuba
árbol	n	13	¿EL ELEFANTE O EL HOMBRE? - Dicen las leyendas que nativos Limpopo y KwaZulu-Natal, en Sudáfrica, comenzaron hace decenas de años a vigilar el extraño comportamiento de los mamíferos placentarios de larga trompa ante el árbol de marula (Sclerocarya birrea) de 18 metros de altura.	Una especie de balance, recostados a la planta, provoca la fuerte sacudida del árbol para incrementar la caída del fruto verde que adquiere color amarillo en el suelo y posee aromas semejantes a la almendra, aunque es miembro de la familia del mango, el pistacho y el anacardo.	En medio de la dicotomía de quien fue primero, en este caso el hombre o el elefante, lo cierto es que los especialistas remiten el consumo de marula	1	cu-b-0.txt	control_8	[CU] Cuba
árbol	n	13	representativas hasta quedarse con cien. En la colección se encuentran el retrato de las herramientas que se utilizaron para la construcción de la bomba atómica, una tormenta de arena, un tornado, el retroceso de los glaciares, las pinturas rupestres de Lascaux y el lanzamiento de una cápsula Soyuz.	También puede contemplarse un barco encallado, el viento entre las ramas de los árboles o la famosa tormenta de polvo de azotó Texas en la década de 1930.	Entre las imágenes que nos reflejan como un espejo, un grupo de huérfanos refugiados en su primera visita al mar o unos inmigrantes tratando de cruzar la frontera de México con EE.UU. Algunas escenas son grandiosas, otras cotidianas. # # Debo confesar que la relación de las fotos me ha	0	es-b-0.txt	control_9	[ES] Spain
árbol	n	27	importar las distancias. Con el auge de las redes sociales, el factor de cercanía con nuestros familiares y amigos se ha incrementado, permitiendo que podamos tener contacto casi continuo con cualquier persona sin importar donde se encuentre.	Genoom pretende ir paso más allá de las redes sociales en su labor para estrechar lazos familiares, presentándose como un servicio que nos permite crear nuestro propio árbol genealógico, y a partir de él comunicarnos con nuestros seres queridos.	A través de él ya se han conectado unas 100.000 familias. Con la intención de conocer un poco más esta herramienta y las posibilidades que ofrece, hemos realizado una entrevista a David Díaz, su creador y máximo responsable. Además de su proyecto, la familia en la era de Internet y	0	es-b-0.txt	control_10	[ES] Spain
