lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2
afternoon_nn	1_2	200	100	100	[199]	[99]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
attack_nn	1_2	200	100	100	[179, 13, 2, 1, 1, 1, 1, 1, 1]	[93, 3, 0, 1, 1, 1, 1, 0, 0]	[86, 10, 2, 0, 0, 0, 0, 1, 1]	[0.895, 0.065, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.93, 0.03, 0.0, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0]	[0.86, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	0	0	0	0.2352229402	1	5	1	5
bag_nn	1_2	200	100	100	[195, 2]	[96, 1]	[99, 1]	[0.99, 0.01]	[0.99, 0.01]	[0.99, 0.01]	0	0	0	0.0013100389	1	5	1	5
ball_nn	1_2	200	100	100	[138, 33, 5, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[53, 30, 3, 2, 0, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]	[85, 3, 2, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]	[0.704, 0.168, 0.026, 0.015, 0.015, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.546, 0.309, 0.031, 0.021, 0.0, 0.021, 0.021, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.859, 0.03, 0.02, 0.01, 0.03, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.4585684984	1	5	1	5
bar_nn	1_2	200	100	100	[56, 20, 12, 11, 9, 8, 6, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[5, 15, 4, 10, 7, 4, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[51, 5, 8, 1, 2, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0.295, 0.105, 0.063, 0.058, 0.047, 0.042, 0.032, 0.021, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.054, 0.161, 0.043, 0.108, 0.075, 0.043, 0.054, 0.032, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.526, 0.052, 0.082, 0.01, 0.021, 0.041, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	0	1	0.7661342216	1	5	1	5
bit_nn	1_2	200	100	100	[136, 32, 9, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[67, 16, 9, 1, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[69, 16, 0, 3, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0.68, 0.16, 0.045, 0.02, 0.015, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.67, 0.16, 0.09, 0.01, 0.02, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.69, 0.16, 0.0, 0.03, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	0	1	0.3465632472	1	5	1	5
chairman_nn	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
chef_nn	1_2	165	65	100	[114, 11, 7, 4, 1, 1, 1, 1, 1, 1]	[20, 11, 7, 3, 1, 1, 1, 1, 1, 1]	[94, 0, 0, 1, 0, 0, 0, 0, 0, 0]	[0.803, 0.077, 0.049, 0.028, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007]	[0.426, 0.234, 0.149, 0.064, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021]	[0.989, 0.0, 0.0, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.5949647188	1	5	1	5
circle_vb	1_2	200	100	100	[187, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[90, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]	[97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]	[0.944, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.909, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0]	[0.98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	0	0	0	0.2377191744	1	5	1	5
contemplation_nn	1_2	200	100	100	[199, 1]	[99, 1]	[100, 0]	[0.995, 0.005]	[0.99, 0.01]	[1.0, 0.0]	0	0	0	0.070838721	1	5	1	5
